concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Self-learning Topics: Image reconstruction,Self-learning Topics: Thresholding techniques,2166117,Digital Imaging,SEM-V.pdf,0.6387,2,1,0.4286,1,admin_rubric_noise,admin_rubric_noise
"Imran Bashir, “Mastering Blockchain: Inner Workings of Blockchain, Cryptocurrencies &","Depth: Learn, Build and Deploy Blockchain",2166118,Blockchain,SEM-V.pdf,0.5642,3,1,0.0769,1,publisher_citation,publisher_citation
Image Handling & Forms: Understand image roles,Axios for API calls,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0219,14,1,0.0,0,person_name,person_name; lab_or_project_course
Write a recursive function to multiply two,and basic understanding of facts and rules,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0037,9,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Controller: Request,and hyperlinks. Responsive Web Design: Learn to build websites,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0123,7,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Karl Pearson’s coefficient of correlation (r),Lines of regression,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1954,3,1,0.1111,0,publisher_citation,publisher_citation
Morphological watersheds,from scanned images,2166117,Digital Imaging,SEM-V.pdf,0.3404,2,1,0.0,1,truncated_fragment,truncated_fragment
Technology Stack,Overview: Frontend: HTML,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2464,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Overview of data analytics,Introduction to Python and,2166120,Visualization Lab,SEM-V.pdf,0.2949,3,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Students must be able to learn to query it and,understand query execution using the backward,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2984,1,1,0.0714,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; lab_or_project_course
EDA and feature exploration,xts) Extracting time series,2166120,Visualization Lab,SEM-V.pdf,0.1467,11,1,0.0,0,person_name,person_name; truncated_fragment; lab_or_project_course
and mobile-first design principles,and navigation bars.React.js basics,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3036,13,1,0.1,0,truncated_fragment,truncated_fragment; person_name; lab_or_project_course
Back-end development with Java Spring Boot introduction- What is Spring Framework? Why Spring Boot?,RESTful API development- What is REST? REST vs. SOAP,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3554,8,1,0.1765,1,lab_or_project_course,lab_or_project_course
Functional Programming,a. Weather Data Analyzer (Haskell / Python with functools),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2665,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Run Time,Students should understand checked and unchecked,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0097,3,1,0.0,0,person_name,person_name; admin_rubric_noise; lab_or_project_course
Clarity in written and oral communication,Project Practical/Oral Examination,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3472,1,1,0.1111,1,person_name,person_name; admin_rubric_noise; lab_or_project_course
Interfacing LED/Buzzer/ Motion Sensor (PIR)/ ultrasonic sensor using a,MQTT.(using paho library),2166121,Internet of Things,SEM-V.pdf,0.0793,4,1,0.0833,0,tool_fragment,tool_fragment
integer values and find space and time complexity,on Binary Search Tree and analyze space and time,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4828,11,1,0.25,0,truncated_fragment,truncated_fragment; lab_or_project_course
Work (PoW) consensus algorithm,Q2: List the basic components of a Solidity smart contract,2166126,Blockchain,SEM-V.pdf,0.0263,5,1,0.0,0,admin_rubric_noise,admin_rubric_noise
"Classes: Customer, MenuItem, Order, Restaurant",Recursion instead of loops,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0214,11,1,0.0,0,person_name,person_name; lab_or_project_course
Packages and Import statements,character effects,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.082,11,1,0.0,0,person_name,person_name; lab_or_project_course
Back-end development with Java Spring Boot introduction- What is Spring Framework? Why Spring Boot?,Project structure overview: pom.xml,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3155,5,1,0.0,1,lab_or_project_course,lab_or_project_course
"Contracts and DApps”, O’Reilly Media","Ashwani Kumar,”Hyperledger Fabric In",2166118,Blockchain,SEM-V.pdf,0.0441,5,1,0.0,0,publisher_citation,publisher_citation; person_name; truncated_fragment
Faculty supervisor may give inputs to students during the mini project activity,"however, focus shall be on self",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1713,1,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Q2: What is the role of MSPs in Hyperledger Fabric?,Q1: What are the differences between ERC,2166126,Blockchain,SEM-V.pdf,0.1915,2,1,0.1333,0,admin_rubric_noise,admin_rubric_noise
Read weather data and apply pure functions for analysis,"Use map, reduce, filter extensively",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2884,2,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
Components of Full Stack: Frontend,applications of full stack,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.7011,9,1,0.5,1,lab_or_project_course,lab_or_project_course
Singh Rathore,Dr. Ritu Bhargava,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2794,1,1,0.0,1,publisher_citation,publisher_citation; person_name
Understanding Request Mapping,Defining Controllers in Spring Boot,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1533,3,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
project as mentioned in general guidelines,o Identification of need/problem,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2463,2,1,0.0,1,lab_or_project_course,lab_or_project_course
flexible layouts,radio buttons,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1455,8,1,0.0,0,lab_or_project_course,lab_or_project_course
"smart contracts, AI in Crypto Trading, Anti","Contracts for Ethereum and Blockchain, Packt Publishing",2166118,Blockchain,SEM-V.pdf,0.2019,11,1,0.0769,0,publisher_citation,publisher_citation
the execution of the Functional Implementation,through Dart,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1955,12,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Self-learning Topics: Various Network Performance,and Edge computing platforms,2166124,Edge Computing,SEM-V.pdf,0.2235,2,1,0.0,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Self- learning Topics: Anomaly detection in high-volume,Importing and exploring time series data in Python,2166120,Visualization Lab,SEM-V.pdf,0.148,3,1,0.0667,0,lab_or_project_course,lab_or_project_course
based consensus is used,Faculty of Technology,2166126,Blockchain,SEM-V.pdf,0.0746,8,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
(Contact Hours),Credits Assigned,2166113,Internet of,SEM-V.pdf,0.2705,1,1,0.0,1,generic_lone_term,generic_lone_term; admin_rubric_noise; person_name
"Mini- Project with full prototype/ product demo, testing, validation and Report) + 5 Marks (Attendance)",Oral Exam: An Oral exam will be held based on the Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3295,1,1,0.0417,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
Blockchain and,Models on Blockchain: decentralized AI,2166118,Blockchain,SEM-V.pdf,0.5179,4,1,0.1667,1,truncated_fragment,truncated_fragment
Control Statements,Exception Handling Basics,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.325,3,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Laundering & Risk Scoring LLMs in Smart,"Contract Lifecycle (Dev, Audit, Test, Docs)",2166118,Blockchain,SEM-V.pdf,0.1614,1,1,0.0,0,person_name,person_name; truncated_fragment
Data management,View: User interface,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.205,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Self-learning Topics: Lifecycle of a Cyberattack,Real-World Case Studies,2166114,Security,SEM-V.pdf,0.3093,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
"Linear Algebra, Vectors, Probability and statistics, Programming Concepts",Learning Techniques,2166111,Machine,SEM-V.pdf,0.3309,4,1,0.0,1,publisher_citation,publisher_citation
an example illustrating their interrelation,with a suitable example for each,2166121,Internet of Things,SEM-V.pdf,0.5668,2,1,0.1,1,truncated_fragment,truncated_fragment
Concept of features and importance in predictive,Concept of dependent and independent variables. The,2166120,Visualization Lab,SEM-V.pdf,0.3324,6,1,0.2727,1,truncated_fragment,truncated_fragment; lab_or_project_course
regression with multiple predictors,Introduction to logistic regression for classification Logit,2166120,Visualization Lab,SEM-V.pdf,0.2592,1,1,0.1,1,lab_or_project_course,lab_or_project_course
o Proposed final solution,First shall be for the finalisation of problem and proposed solution,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5885,4,1,0.1538,1,lab_or_project_course,lab_or_project_course
Self-learning Topics: Explore bootstrapping,via Python tutorials. Read “Practical Statistics,2165111,Statistics for,SEM-V.pdf,0.2011,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; publisher_citation
Book Companion Resource : Dart Apprentice: Beyond the Basics (First Edition),materials/tree/editions/1.0,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.334,2,1,0.0,1,publisher_citation,publisher_citation; lab_or_project_course
integer values and find space and time complexity,Implementation of randomized quicksort algorithm and,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1574,1,1,0.0833,0,truncated_fragment,truncated_fragment; lab_or_project_course
the execution of the Functional Implementation,using Haskell,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3896,1,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
"the same way as tail, except that safetail maps the",Simple List Comprehension,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0866,6,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
"DevOps: Dive, , Packt, 2018",A total of Four questions need to be answered,2165113,Agile Software,SEM-V.pdf,0.1413,14,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
learning Topics:Stablecoins and Central,Emerging trends,2166118,Blockchain,SEM-V.pdf,0.273,2,1,0.0,1,generic_lone_term,generic_lone_term
Work (PoW) consensus algorithm,Q3: List two common security threats in blockchain and their mitigation strategies,2166126,Blockchain,SEM-V.pdf,0.2233,14,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Semester GPA/ Programme,A (Very Good),2166126,Blockchain,SEM-V.pdf,0.0699,3,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Self-learning Topics: Recent advances in Generative,Self-learning Topics: Adaptive fuzzy systems and,2165112,Artificial,SEM-V.pdf,0.6191,6,1,0.2727,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
RESTful API development- What is REST? REST vs. SOAP,Controllers and Services- Role of Controller in MVC,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1989,8,1,0.0,0,lab_or_project_course,lab_or_project_course
Multi-class SVMs,"Dimensionali ty Reduction 4.1 Curse of Dimensionality. 4.2 Feature Selection (Filter Method, Embedded Method, Wrapper Method) and Feature Extraction",2166111,Machine,SEM-V.pdf,0.2796,1,1,0.0,1,length_bound,length_bound
three variables) using the method of Lagrange’s,prime numbers,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0451,9,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Token Passing),(Simple Problems on throughput),2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2706,2,1,0.0,1,truncated_fragment,truncated_fragment
and hyperlinks. Responsive Web Design: Learn to build websites,flexible layouts,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3331,2,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Study – Selenium/ Jira,world case studies,2165113,Agile Software,SEM-V.pdf,0.1405,14,1,0.0,0,tool_fragment,tool_fragment
Source Tools in DevOps,"David J. Anderson and Eli Schragenheim, ―Agile Management for Software",2165113,Agile Software,SEM-V.pdf,0.3054,14,1,0.0,0,publisher_citation,publisher_citation
linked lists,to solve recurrence relations in algorithms (Substitution,2343112,Advance Data,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1515,4,1,0.0,0,truncated_fragment,truncated_fragment
Logic Programming,Script to organize files into folders based on type,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1885,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Students should understand checked and unchecked,"the same way as tail, except that safetail maps the",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.082,10,1,0.0,0,person_name,person_name; admin_rubric_noise; truncated_fragment; lab_or_project_course
Introduction to OOP- Basic of,Exception Handling Basics,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3286,2,1,0.0,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
At least Four Haskell Programs to demonstrate,Sample Programs but not limited to,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3905,2,1,0.1818,1,truncated_fragment,truncated_fragment; lab_or_project_course
Java SE concepts: JVM,Introduction to Java EE- Need for Java EE in enterprise applications,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5802,6,1,0.0833,1,lab_or_project_course,lab_or_project_course
"Expectation of random variable with mean, variance and",two moments,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3487,2,1,0.0,1,truncated_fragment,truncated_fragment
Self-learning Topics: Adaptive fuzzy systems and,introductory overview and comparison,2165112,Artificial,SEM-V.pdf,0.3038,2,1,0.1,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; person_name
standardization techniques,Self- learning Topics: Different feature engineering,2166120,Visualization Lab,SEM-V.pdf,0.0881,4,1,0.0,0,lab_or_project_course,lab_or_project_course
Text Books,Hill International Publication,2165113,Agile Software,SEM-V.pdf,0.3608,2,1,0.0,1,publisher_citation,publisher_citation
Real-Time,Mobile Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2806,2,1,0.0,1,generic_lone_term,generic_lone_term
3 Case Studies & Applications: MOEAs in feature,Self-learning Topics: Swarm Intelligence for AI &,2166115,Nature-,SEM-V.pdf,0.2188,5,1,0.0,0,person_name,person_name; truncated_fragment; admin_rubric_noise
Introduction to data analytics,semi-structured,2166120,Visualization Lab,SEM-V.pdf,0.1386,3,1,0.0,0,lab_or_project_course,lab_or_project_course
Technology Stack,Java SE concepts: JVM,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2085,8,1,0.0,0,lab_or_project_course,lab_or_project_course
Introduction to logistic regression for classification Logit,Anomaly detection techniques,2166120,Visualization Lab,SEM-V.pdf,0.2923,8,1,0.0,1,lab_or_project_course,lab_or_project_course
Introduction to Analysis of Algorithms,Advanced Data Structures,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.377,6,1,0.0,1,lab_or_project_course,lab_or_project_course
